<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
ВТБ ао;D;20200204;000000;0.04636;0.047435;0.04633;0.047255;38560410000;1811987712.65
ВТБ ао;D;20200205;000000;0.047325;0.048175;0.047025;0.04768;39548110000;1887077447.3
ВТБ ао;D;20200206;000000;0.048;0.04835;0.04771;0.048075;30435590000;1460423331.05
ВТБ ао;D;20200207;000000;0.04804;0.04823;0.0474;0.04809;17589390000;841768004.35
ВТБ ао;D;20200210;000000;0.0482;0.0485;0.0474;0.0474;34916240000;1669281970.05
ВТБ ао;D;20200211;000000;0.0476;0.04779;0.04742;0.04744;28048400000;1333694144.1
ВТБ ао;D;20200212;000000;0.0475;0.04805;0.04745;0.04787;19686100000;941176153.7
ВТБ ао;D;20200213;000000;0.04778;0.04836;0.047585;0.048;28699430000;1377181143.85
ВТБ ао;D;20200214;000000;0.048105;0.04825;0.047735;0.047885;11631800000;558191189.6
ВТБ ао;D;20200217;000000;0.048095;0.04818;0.04788;0.048095;9212240000;442462909.3
ВТБ ао;D;20200218;000000;0.047925;0.047995;0.0472;0.047205;23776690000;1129018837
ВТБ ао;D;20200219;000000;0.04742;0.04758;0.04728;0.04747;13813580000;655205703.45
ВТБ ао;D;20200220;000000;0.0476;0.047785;0.04751;0.04751;12629910000;601877594.45
ВТБ ао;D;20200221;000000;0.047375;0.0481;0.0472;0.04796;19858660000;948097720.45
ВТБ ао;D;20200225;000000;0.04737;0.048275;0.04722;0.047295;53161810000;2534910827.4
ВТБ ао;D;20200226;000000;0.04705;0.04774;0.04652;0.04723;52366390000;2471940020.3
ВТБ ао;D;20200227;000000;0.046945;0.04713;0.04531;0.04539;46448270000;2147760874.75
ВТБ ао;D;20200228;000000;0.0442;0.044495;0.04243;0.04333;89304060000;3862404888
ВТБ ао;D;20200302;000000;0.04417;0.04444;0.042615;0.043;64404120000;2810055392.05
ВТБ ао;D;20200303;000000;0.04373;0.04419;0.042835;0.043255;50770690000;2211367491.2
ВТБ ао;D;20200304;000000;0.042835;0.0438;0.0427;0.043155;28914560000;1255430172.25
ВТБ ао;D;20200305;000000;0.043575;0.04378;0.042925;0.04307;25439920000;1100411612.9
ВТБ ао;D;20200306;000000;0.0426;0.0426;0.040835;0.04122;62608260000;2593763215.95
ВТБ ао;D;20200310;000000;0.0371;0.0397;0.03478;0.03745;101031410000;3872200100.1
ВТБ ао;D;20200311;000000;0.0383;0.0383;0.03617;0.036355;58794660000;2181638639.4
ВТБ ао;D;20200312;000000;0.034995;0.034995;0.030735;0.03112;147127700000;4854860225.95
ВТБ ао;D;20200313;000000;0.031755;0.032995;0.0312;0.031575;130916070000;4197267474.5
ВТБ ао;D;20200316;000000;0.03033;0.030945;0.028755;0.03015;118854640000;3578250562
ВТБ ао;D;20200317;000000;0.03022;0.03144;0.028905;0.029735;90650580000;2720633058.8
ВТБ ао;D;20200318;000000;0.0291;0.02939;0.0276;0.02814;90604990000;2593257197.2
ВТБ ао;D;20200319;000000;0.0285;0.03065;0.027855;0.03057;101200110000;2981147326.5
ВТБ ао;D;20200320;000000;0.031165;0.033025;0.03109;0.0315;117473160000;3764067957.65
ВТБ ао;D;20200323;000000;0.03005;0.032475;0.03005;0.0316;80082710000;2511120441.25
ВТБ ао;D;20200324;000000;0.033025;0.033495;0.0324;0.03288;63291310000;2081718721.15
ВТБ ао;D;20200325;000000;0.0336;0.035485;0.0317;0.0328;131955800000;4416428023.25
ВТБ ао;D;20200326;000000;0.032695;0.0334;0.0321;0.0325;64717070000;2109544571.05
ВТБ ао;D;20200327;000000;0.03295;0.03295;0.030855;0.0311;60796540000;1921554769.4
ВТБ ао;D;20200330;000000;0.03074;0.031795;0.02982;0.03165;78153550000;2411365420.8
ВТБ ао;D;20200331;000000;0.032345;0.032695;0.031795;0.0326;72341470000;2335547554.2
ВТБ ао;D;20200401;000000;0.03164;0.03238;0.03156;0.03203;57942320000;1852811346.45
ВТБ ао;D;20200402;000000;0.03277;0.032995;0.031175;0.032175;83791020000;2690679320.3
ВТБ ао;D;20200403;000000;0.032;0.0326;0.031825;0.03208;69403500000;2234093300.45
