<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;240216;000000;122.075;124.05;120.275;121.25;42089846
VTBR;D;240219;000000;121.8;125.25;121.225;124.7;59012770
VTBR;D;240220;000000;124.85;124.875;116.45;117.875;92247980
VTBR;D;240221;000000;118;119.25;113.95;115.5;63949090
VTBR;D;240222;000000;115.725;117.775;114.525;115.95;29217310
VTBR;D;240226;000000;118.8;119.125;117.125;118;22987580
VTBR;D;240227;000000;118.05;118.425;116.275;116.925;16602236
VTBR;D;240228;000000;117;117.775;115.875;116.55;14248892
VTBR;D;240229;000000;116.65;117.85;115.85;117.125;19126978
VTBR;D;240301;000000;117.15;119.95;116.8;118.275;45323730
