<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GC;D;240305;000000;2123.8;2150.5;2122.2;2134.2;255704
GC;D;240306;000000;2134.1;2169;2132.3;2165.5;295332
GC;D;240307;000000;2165.5;2172.2;2155.2;2164.6;186829
GC;D;240308;000000;2164.7;2203;2163.2;2183.6;262002
GC;D;240311;000000;2187.6;2195.5;2180.9;2183.7;179624
GC;D;240312;000000;2183.6;2187.8;2156.2;2164.2;260085
GC;D;240313;000000;2164.3;2185.6;2162.3;2176.4;158956
GC;D;240314;000000;2176.5;2176.7;2157;2168.5;185011
GC;D;240315;000000;2168.6;2176.9;2158.7;2159.4;153416
GC;D;240318;000000;2159.9;2167.2;2149.2;2164.9;190302
GC;D;240319;000000;2164.8;2165.5;2150.2;2163;136231
GC;D;240320;000000;2163;2225.3;2152.3;2204.9;249838
GC;D;240321;000000;2205.1;2214.1;2168.2;2175.2;266091
GC;D;240322;000000;2175.1;2181.8;2158.4;2166.5;138488
GC;D;240325;000000;2166.6;2182.5;2164.4;2170.7;142057
GC;D;240326;000000;2170.7;2202.3;2169.9;2198.2;122372
GC;D;240327;000000;2198.2;2218.3;2196.2;2215.5;157656
GC;D;240328;000000;2215.4;2256.9;2211.2;2254.8;217765
GC;D;240329;000000;2254.8;2254.8;2254.8;2254.8;1
GC;D;240401;000000;2259.2;2286.4;2249.1;2271.9;237324
GC;D;240402;000000;2271.8;2308.8;2270.4;2305.3;273412
GC;D;240403;000000;2305.2;2324.8;2285.7;2318.5;230332
GC;D;240404;000000;2318.6;2325.3;2286.2;2295.2;233351
GC;D;240405;000000;2295.3;2350;2295.1;2349.1;242504
GC;D;240408;000000;2343.6;2372.5;2321.7;2362.6;298888
GC;D;240409;000000;2362.6;2384.5;2357;2369.5;262329
GC;D;240410;000000;2369.4;2378.1;2337.1;2361.1;333221
GC;D;240411;000000;2361.1;2412.8;2343.1;2401.6;271564
GC;D;240412;000000;2401.6;2448.8;2350.6;2360.2;397316
GC;D;240415;000000;2369.4;2408.5;2340.2;2404.5;361832
GC;D;240416;000000;2404.5;2414.8;2379.2;2397.9;283713
GC;D;240417;000000;2397.8;2412;2370.7;2389.5;268439
GC;D;240418;000000;2389.5;2433.3;2384.3;2406;258401
GC;D;240419;000000;2405.9;2417.1;2386.8;2406.7;171092
GC;D;240422;000000;2403.7;2404.3;2308.7;2315.9;310888
