<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;221227;000000;69;69;69;69;0
USDRUB;D;221228;000000;71.75;71.75;71.75;71.75;0
USDRUB;D;221229;000000;71.73;74.4;70.575;73;514
USDRUB;D;221230;000000;72.5;72.5;72.5;72.5;0
USDRUB;D;230101;000000;73.65;73.65;73.65;73.65;1
USDRUB;D;230102;000000;71.0007;71.0007;71.0007;71.0007;0
USDRUB;D;230103;000000;72.6716;72.6716;72.6716;72.6716;0
USDRUB;D;230104;000000;71.5;71.5;71.5;71.5;0
USDRUB;D;230105;000000;71.5207;72.972;70.98;72.147;503
USDRUB;D;230106;000000;72.4878;72.4878;72.4878;72.4878;0
USDRUB;D;230108;000000;72.3607;72.4807;71.48;72.429;15
USDRUB;D;230109;000000;69.9112;69.9112;69.9112;69.9112;0
USDRUB;D;230110;000000;69.6647;69.6647;69.6647;69.6647;0
USDRUB;D;230111;000000;69.1427;69.1427;69.1427;69.1427;0
USDRUB;D;230112;000000;66.35;66.35;66.35;66.35;0
USDRUB;D;230113;000000;67.794;68.9958;67.7713;68.9958;11
USDRUB;D;230115;000000;68.976;68.976;68.9;68.976;6
USDRUB;D;230116;000000;68.7385;68.7385;68.7385;68.7385;0
USDRUB;D;230117;000000;68.59;68.726;68.59;68.726;1
USDRUB;D;230118;000000;69.1779;69.1779;69.1779;69.1779;0
USDRUB;D;230119;000000;69.3972;69.3972;69.3972;69.3972;0
USDRUB;D;230120;000000;69.101;69.101;69.101;69.101;0
USDRUB;D;230122;000000;67.23;69.0605;67.23;69.0411;7
USDRUB;D;230123;000000;68.9687;68.9687;68.9687;68.9687;0
USDRUB;D;230124;000000;68.85;69.4451;68.73;69.4451;2
USDRUB;D;230125;000000;69.205;69.205;69.205;69.205;0
USDRUB;D;230126;000000;69.665;69.665;69.665;69.665;0
USDRUB;D;230127;000000;69.5;69.7494;69.5;69.7494;1
USDRUB;D;230129;000000;69.733;69.75;68.732;68.732;21
USDRUB;D;230130;000000;69.9098;69.9098;69.9098;69.9098;0
USDRUB;D;230131;000000;69.125;69.125;69.125;69.125;0
USDRUB;D;230201;000000;69.882;69.882;69.14;69.14;1
USDRUB;D;230202;000000;70.03;70.03;70.03;70.03;0
USDRUB;D;230203;000000;70.6442;70.6442;70.6442;70.6442;0
USDRUB;D;230205;000000;69.63;70.575;69.03;70.575;14
USDRUB;D;230206;000000;71.4956;71.4956;71.4956;71.4956;0
USDRUB;D;230207;000000;71.4984;72.3486;69.625;72.1489;886
USDRUB;D;230208;000000;72.476;72.476;72.476;72.476;0
USDRUB;D;230209;000000;73.0479;73.0479;73.0479;73.0479;0
USDRUB;D;230210;000000;73.086;73.086;73.086;73.086;0
USDRUB;D;230213;000000;73.7919;73.7919;73.7919;73.7919;1
USDRUB;D;230214;000000;73.4262;73.4262;73.4262;73.4262;1
USDRUB;D;230215;000000;74.325;74.767;73.15;74.091;20
USDRUB;D;230216;000000;74.63;74.68;74.63;74.68;12
USDRUB;D;230217;000000;74.7087;75.275;72.65;73.6381;3923
USDRUB;D;230219;000000;72.63;72.63;72.3;72.3;2
USDRUB;D;230220;000000;75.4889;75.4889;75.4889;75.4889;0
USDRUB;D;230221;000000;74.9186;74.9207;74.9186;74.9207;1
USDRUB;D;230222;000000;75.4335;75.4335;75.4335;75.4335;0
USDRUB;D;230223;000000;75.7286;75.7286;75.7286;75.7286;0
USDRUB;D;230224;000000;76.0129;76.0129;76.0129;76.0129;0
USDRUB;D;230226;000000;75.98;75.98;75.98;75.98;2
USDRUB;D;230227;000000;74.9097;74.9097;74.9097;74.9097;0
USDRUB;D;230228;000000;74.94;75.0439;74.76;75.0439;11
USDRUB;D;230301;000000;75.205;75.25;75.205;75.25;2
USDRUB;D;230302;000000;74.525;74.525;74.525;74.525;0
USDRUB;D;230303;000000;75.501;75.7041;74.325;75.7041;822
USDRUB;D;230305;000000;75.675;75.675;75.675;75.675;3
USDRUB;D;230306;000000;75.675;75.8642;74.375;75.3936;806
USDRUB;D;230307;000000;75.3948;75.979;74.3;75.5975;605
USDRUB;D;230308;000000;75.5974;76.533;75;76.0486;462
USDRUB;D;230309;000000;76.0474;76.1945;74.775;75.8478;543
USDRUB;D;230310;000000;75.8438;76.414;74.85;76.175;803
USDRUB;D;230312;000000;75.18;75.18;75.18;75.18;1
USDRUB;D;230313;000000;75.18;76.175;73.9;75.5467;938
USDRUB;D;230314;000000;75.5723;75.98;74.1;75.7397;847
USDRUB;D;230315;000000;75.7539;76.5529;74.525;76.0985;676
USDRUB;D;230316;000000;76.1326;77.6432;75.015;76.499;1005
USDRUB;D;230317;000000;76.4958;77.3238;75.45;76.9438;907
USDRUB;D;230319;000000;75.94;75.94;75.94;75.94;1
USDRUB;D;230320;000000;75.94;77.686;75.625;77.4881;902
USDRUB;D;230321;000000;77.4903;77.5141;75.675;77.2482;942
USDRUB;D;230322;000000;77.2302;77.5097;75.925;76.9254;1033
USDRUB;D;230323;000000;76.9062;77.05;75;75.9967;699
USDRUB;D;230324;000000;75.996;77.3103;74.975;77.2707;886
USDRUB;D;230326;000000;76.26;76.26;76.26;76.26;3
USDRUB;D;230327;000000;77.2194;77.2356;75.625;76.85;1880
USDRUB;D;230328;000000;76;77.15;75.55;76.5715;4384
USDRUB;D;230329;000000;76.5439;77.379;75.85;77.323;1944
USDRUB;D;230330;000000;77.3296;77.362;76.1;77.2731;1157
USDRUB;D;230331;000000;77.2677;78.001;76.17;77.976;911
USDRUB;D;230402;000000;76.98;76.98;76.98;76.98;9
USDRUB;D;230403;000000;77.9271;78.874;76.525;78.6548;923
USDRUB;D;230404;000000;78.6511;80.197;77.63;79.2984;871
USDRUB;D;230405;000000;79.3059;80.461;78.225;80.1949;2716
USDRUB;D;230406;000000;80.2;81.804;79.1;81.175;3128
USDRUB;D;230407;000000;80.18;82.65;80.1;80.53;157
USDRUB;D;230409;000000;80.53;80.53;80.53;80.53;3
USDRUB;D;230410;000000;80.53;82.525;80.53;81.63;186
USDRUB;D;230411;000000;81.63;82.606;80.325;81.0874;867
USDRUB;D;230412;000000;81.0918;82.5957;80.8;82.0464;1173
USDRUB;D;230413;000000;82.0509;82.36;80.655;81.6961;911
USDRUB;D;230414;000000;81.7112;82.325;80.5;82.2773;760
USDRUB;D;230416;000000;82.251;82.251;82.251;82.251;3
USDRUB;D;230417;000000;82.351;82.5467;80.475;82.0464;2863
USDRUB;D;230418;000000;82.04;82.0573;80.34;81.7992;1074
USDRUB;D;230419;000000;81.789;82.0854;80.6;81.6964;592
USDRUB;D;230420;000000;81.6886;81.8141;80.28;81.7946;761
USDRUB;D;230421;000000;81.7988;81.974;80.325;81.876;1065
USDRUB;D;230423;000000;81.876;81.876;81.876;81.876;6
USDRUB;D;230424;000000;81.4335;81.876;80.15;81.4771;1191
USDRUB;D;230425;000000;81.4919;81.887;80.275;81.6914;867
