<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SU29007RMFS0;D;241009;000000;102.488;102.902;102.192;102.201;3478
SU29007RMFS0;D;241010;000000;102.399;102.9;102.052;102.357;4525
SU29007RMFS0;D;241011;000000;102.162;102.497;102.152;102.484;1925
SU29007RMFS0;D;241014;000000;102.361;102.483;102.152;102.219;1697
SU29007RMFS0;D;241015;000000;102.192;102.304;102;102.25;2974
SU29007RMFS0;D;241016;000000;102.66;102.66;101.94;102.1;7059
SU29007RMFS0;D;241017;000000;101.937;102.492;101.935;102.001;5239
SU29007RMFS0;D;241018;000000;102.498;102.649;102.005;102.1;3609
SU29007RMFS0;D;241021;000000;102.006;102.549;101.901;102.002;16643
SU29007RMFS0;D;241022;000000;102.012;102.499;101.755;101.988;5586
SU29007RMFS0;D;241023;000000;101.988;102.449;101.961;101.961;4676
SU29007RMFS0;D;241024;000000;101.915;102.398;101.912;102.181;6935
SU29007RMFS0;D;241025;000000;102.013;102.231;101.876;102.219;2317
SU29007RMFS0;D;241028;000000;102.231;102.297;100.2;101.02;4613
SU29007RMFS0;D;241029;000000;101.201;101.261;100.603;100.79;3751
SU29007RMFS0;D;241030;000000;100.847;100.849;100.252;100.542;2167
SU29007RMFS0;D;241031;000000;100.718;100.718;100.25;100.498;5313
SU29007RMFS0;D;241101;000000;100.401;100.7;100.103;100.412;10747
SU29007RMFS0;D;241102;000000;100.938;100.938;99.901;100.195;4792
SU29007RMFS0;D;241105;000000;100.201;100.417;99.805;99.855;6803
SU29007RMFS0;D;241106;000000;100.001;100.145;99.103;99.716;5317
SU29007RMFS0;D;241107;000000;99.884;99.885;99.333;99.62;7171
SU29007RMFS0;D;241108;000000;99.9;99.9;99.659;99.8;17126
SU29007RMFS0;D;241111;000000;99.799;99.799;99.523;99.649;16737
SU29007RMFS0;D;241112;000000;99.57;99.69;99.5;99.5;6547
SU29007RMFS0;D;241113;000000;99.512;99.632;99.421;99.459;3849
SU29007RMFS0;D;241114;000000;99.459;99.496;99.209;99.209;7006
SU29007RMFS0;D;241115;000000;99.408;99.477;99.222;99.477;6365
SU29007RMFS0;D;241118;000000;99.349;99.399;99.212;99.26;11463
SU29007RMFS0;D;241119;000000;99.298;99.439;99.161;99.439;10980
SU29007RMFS0;D;241120;000000;99.204;99.645;99.191;99.499;20466
SU29007RMFS0;D;241121;000000;99.698;99.999;99.511;99.996;21971
SU29007RMFS0;D;241122;000000;99.886;100.142;99.871;100.023;8560
SU29007RMFS0;D;241125;000000;100.021;100.171;99.996;100.027;11074
SU29007RMFS0;D;241126;000000;100.172;100.311;100.003;100.289;11054
SU29007RMFS0;D;241127;000000;100.472;100.5;100.081;100.285;10016
